id,system,equipment,name,place,product,module,channel,crate,check,cat,property,fb,inversion,ton,tof,comment,modbus,node
V_3zpe1_1_opened,RSU_12,3zpe1/1,3zpe1/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE1_1_OPEN,,
V_3zpe1_1_closed,RSU_12,3zpe1/1,3zpe1/1 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE1_1_CLOSE,,
V_3zpe1_2_opened,RSU_12,3zpe1/2,3zpe1/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE1_2_OPEN,,
V_3zpe1_2_closed,RSU_12,3zpe1/2,3zpe1/2 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE1_2_CLOSE,,
V_3zpe1_3_opened,RSU_12,3zpe1/3,3zpe1/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE1_3_OPEN,,
V_3zpe1_3_closed,RSU_12,3zpe1/3,3zpe1/3 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE1_3_CLOSE,,
V_3zpe2_1_opened,RSU_12,3zpe2/1,3zpe2/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE2_1_OPEN,,
V_3zpe2_1_closed,RSU_12,3zpe2/1,3zpe2/1 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE2_1_CLOSE,,
V_3zpe2_2_opened,RSU_12,3zpe2/2,3zpe2/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE2_2_OPEN,,
V_3zpe2_2_closed,RSU_12,3zpe2/2,3zpe2/2 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE2_2_CLOSE,,
V_3zpe2_3_opened,RSU_12,3zpe2/3,3zpe2/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE2_3_OPEN,,
V_3zpe2_3_closed,RSU_12,3zpe2/3,3zpe2/3 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE2_3_CLOSE,,
V_3zpe3_1_opened,RSU_12,3zpe3/1,3zpe3/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU4_DI_FN_KE3_1_OPEN,,
